planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,classical,classical-domains,citycar-opt14-adl,20,6,30.0,6,14,0,0,0,0,0,0,23.0,146.2,13.5
PLASPPlanner-seq,classical,classical-domains,citycar-sat14-adl,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,cybersec,30,8,26.7,8,21,0,1,0,0,0,0,145.9,419.6,31.5
PLASPPlanner-seq,classical,classical-domains,data-network-opt18,20,15,75.0,15,5,0,0,0,0,0,0,4.1,159.8,10
PLASPPlanner-seq,classical,classical-domains,data-network-sat18,20,0,0.0,0,13,2,5,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,depot,22,2,9.1,2,20,0,0,0,0,0,0,6.2,133.0,12.5
PLASPPlanner-seq,classical,classical-domains,driverlog,20,6,30.0,6,14,0,0,0,0,0,0,14.6,135.0,12.5
PLASPPlanner-seq,classical,classical-domains,elevators-00-adl,151,34,22.5,34,116,0,0,1,0,0,0,1.9,124.0,11.5
PLASPPlanner-seq,classical,classical-domains,elevators-00-full,150,0,0.0,0,0,0,0,129,0,21,0,,,
PLASPPlanner-seq,classical,classical-domains,elevators-00-strips,150,30,20.0,30,120,0,0,0,0,0,0,2.2,122.0,12.0
PLASPPlanner-seq,classical,classical-domains,elevators-opt08-strips,30,6,20.0,6,24,0,0,0,0,0,0,167.0,170.9,14.5
PLASPPlanner-seq,classical,classical-domains,elevators-opt11-strips,20,4,20.0,4,16,0,0,0,0,0,0,354.3,172.4,15.5
PLASPPlanner-seq,classical,classical-domains,elevators-sat08-strips,30,0,0.0,0,30,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,elevators-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,ferry,30,12,40.0,12,18,0,0,0,0,0,0,133.0,150.8,18.0
PLASPPlanner-seq,classical,classical-domains,flashfill-sat18,20,5,25.0,5,1,14,0,0,0,0,0,346.1,4094.0,15
PLASPPlanner-seq,classical,classical-domains,floortile-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,floortile-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,floortile-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,floortile-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,freecell,80,8,10.0,8,72,0,0,0,0,0,0,47.2,307.1,8.5
PLASPPlanner-seq,classical,classical-domains,fridge,30,0,0.0,0,30,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,ged-opt14-strips,20,20,100.0,20,0,0,0,0,0,0,0,6.1,152.8,13.0
PLASPPlanner-seq,classical,classical-domains,ged-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,grid,5,1,20.0,1,4,0,0,0,0,0,0,7.6,172.7,14
PLASPPlanner-seq,classical,classical-domains,gripper,20,2,10.0,2,18,0,0,0,0,0,0,16.0,127.0,14.0
PLASPPlanner-seq,classical,classical-domains,hanoi,30,4,13.3,4,26,0,0,0,0,0,0,1.3,121.0,5.0
PLASPPlanner-seq,classical,classical-domains,hiking-opt14-strips,20,6,30.0,6,14,0,0,0,0,0,0,31.8,175.1,13.5
PLASPPlanner-seq,classical,classical-domains,hiking-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,logistics00,174,0,0.0,0,0,0,0,174,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,logistics98,35,2,5.7,2,29,1,3,0,0,0,0,12.6,136.6,16.5
PLASPPlanner-seq,classical,classical-domains,maintenance-opt14-adl,5,5,100.0,5,0,0,0,0,0,0,0,1.5,122.0,7
PLASPPlanner-seq,classical,classical-domains,maintenance-sat14-adl,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,miconic,150,30,20.0,30,120,0,0,0,0,0,0,2.4,125.0,12.0
PLASPPlanner-seq,classical,classical-domains,miconic-fulladl,150,35,23.3,35,111,4,0,0,0,0,0,2.6,138.0,12
PLASPPlanner-seq,classical,classical-domains,miconic-simpleadl,150,34,22.7,34,116,0,0,0,0,0,0,1.9,124.0,11.5
PLASPPlanner-seq,classical,classical-domains,movie,30,30,100.0,30,0,0,0,0,0,0,0,1.5,124.0,7.0
PLASPPlanner-seq,classical,classical-domains,mprime,35,32,91.4,32,2,0,1,0,0,0,0,20.6,184.4,6.0
PLASPPlanner-seq,classical,classical-domains,mystery,30,18,60.0,18,10,0,1,0,0,1,0,10.4,170.7,6.5
PLASPPlanner-seq,classical,classical-domains,no-mprime,35,30,85.7,30,4,0,1,0,0,0,0,19.2,184.1,6.0
PLASPPlanner-seq,classical,classical-domains,no-mystery,30,18,60.0,18,10,0,1,0,0,1,0,10.6,170.9,6.5
PLASPPlanner-seq,classical,classical-domains,nomystery-opt11-strips,20,7,35.0,7,6,3,4,0,0,0,0,57.5,342.5,14
PLASPPlanner-seq,classical,classical-domains,nomystery-sat11-strips,20,1,5.0,1,7,7,5,0,0,0,0,342.2,426.8,18
PLASPPlanner-seq,classical,classical-domains,nurikabe-opt18,20,7,35.0,7,1,11,1,0,0,0,0,6.6,342.1,15
PLASPPlanner-seq,classical,classical-domains,nurikabe-sat18,20,0,0.0,0,2,14,4,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks,30,5,16.7,5,21,3,1,0,0,0,0,209.0,154.0,23
PLASPPlanner-seq,classical,classical-domains,openstacks-opt08-adl,30,2,6.7,2,28,0,0,0,0,0,0,165.2,140.6,18.5
PLASPPlanner-seq,classical,classical-domains,openstacks-opt08-strips,30,2,6.7,2,28,0,0,0,0,0,0,81.1,134.0,18.5
PLASPPlanner-seq,classical,classical-domains,openstacks-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
